"ZIP
code [1]",Size of adjusted gross income,Number of returns [2],Number of single returns,Number of joint returns,Number of head of household returns,Number of individuals,Elderly returns,"Business or profession
net income (less loss)",Farm returns,Unemployment compensation [9],Taxable Social Security benefits,Partnership/S-corp net income (less loss)
98031,"$100,000 under $200,000",3440,570,2650,190,8940,880,450,0,140,550,230
98031,"$200,000 or more",800,70,710,0,2150,240,120,0,20,110,120
,,,,,,,,,,,,
98032,,18160,10020,4880,2950,33070,3010,2370,0,620,1540,470
98032,"$1 under $25,000",4860,3520,410,850,6790,650,880,0,110,140,50
98032,"$25,000 under $50,000",5520,3300,840,1250,9830,700,610,0,180,390,70
98032,"$50,000 under $75,000",3370,1840,900,560,6380,580,330,0,140,350,90
98032,"$75,000 under $100,000",1790,730,870,170,3860,420,230,0,80,280,60
98032,"$100,000 under $200,000",2190,570,1500,120,5110,530,250,0,110,320,120
98032,"$200,000 or more",430,60,360,0,1100,130,70,0,0,60,80
,,,,,,,,,,,,
98033,,20530,10080,9030,1120,38470,4880,3530,40,480,2860,2470
98033,"$1 under $25,000",3310,2860,250,160,2880,670,570,0,40,180,80
98033,"$25,000 under $50,000",2410,1880,320,170,3110,570,350,0,70,380,100
98033,"$50,000 under $75,000",2150,1550,380,170,3000,590,320,0,80,420,110
98033,"$75,000 under $100,000",1650,970,510,140,2680,520,280,0,60,370,150
98033,"$100,000 under $200,000",4380,1780,2260,260,8660,1350,780,0,110,880,520
98033,"$200,000 or more",6630,1040,5310,220,18140,1180,1230,40,120,630,1510
,,,,,,,,,,,,
98034,,25940,13630,10240,1720,46350,5350,4120,30,820,2990,1590
98034,"$1 under $25,000",4990,4160,470,300,4980,940,890,0,80,260,100
98034,"$25,000 under $50,000",4660,3460,620,510,6480,790,700,30,160,510,120
98034,"$50,000 under $75,000",3700,2390,880,340,5730,850,490,0,150,550,110
98034,"$75,000 under $100,000",2630,1350,1050,190,4660,720,370,0,110,480,140
98034,"$100,000 under $200,000",5810,1760,3730,260,12990,1460,960,0,220,870,450
98034,"$200,000 or more",4150,510,3490,120,11510,590,710,0,100,320,670
,,,,,,,,,,,,
98036,,20590,10580,7790,1850,37780,4830,3060,0,620,2660,1030
98036,"$1 under $25,000",4950,3910,540,410,5720,1080,840,0,80,280,80
98036,"$25,000 under $50,000",4820,3260,750,690,7400,910,590,0,160,590,90
98036,"$50,000 under $75,000",3090,1690,940,400,5600,810,420,0,110,530,100
98036,"$75,000 under $100,000",2100,830,1070,150,4410,630,310,0,90,440,110
98036,"$100,000 under $200,000",4150,750,3190,170,10520,1090,660,0,150,660,350
98036,"$200,000 or more",1480,140,1300,30,4130,310,240,0,30,160,300
,,,,,,,,,,,,
98037,,14640,7630,5290,1420,26370,3170,2180,0,430,1700,640
98037,"$1 under $25,000",3610,2850,410,290,3990,740,650,0,50,190,50
98037,"$25,000 under $50,000",3570,2400,570,500,5510,600,440,0,110,380,80
98037,"$50,000 under $75,000",2390,1270,740,320,4350,550,320,0,80,340,70
98037,"$75,000 under $100,000",1530,510,830,150,3270,440,210,0,70,290,70
98037,"$100,000 under $200,000",2690,510,2000,160,6850,680,410,0,100,420,210
98037,"$200,000 or more",850,90,740,0,2400,160,150,0,20,80,160
,,,,,,,,,,,,
98038,,16720,6740,8440,1340,36270,3610,2400,50,590,2300,1050
98038,"$1 under $25,000",3210,2700,260,220,2880,580,370,0,50,200,50
98038,"$25,000 under $50,000",2440,1660,410,320,3650,560,300,0,90,440,50
98038,"$50,000 under $75,000",2030,1070,640,270,3720,540,270,0,90,440,90
98038,"$75,000 under $100,000",1770,600,930,210,4040,520,240,0,70,380,80
98038,"$100,000 under $200,000",5100,610,4180,260,14870,1080,830,50,230,690,350
98038,"$200,000 or more",2170,100,2020,60,7110,330,390,0,60,150,430
,,,,,,,,,,,,
98039,,1520,640,780,60,3070,480,360,0,0,320,470
98039,"$1 under $25,000",270,240,30,30,170,40,30,0,0,30,0
98039,"$25,000 under $50,000",120,90,0,0,150,20,30,0,0,0,0
98039,"$50,000 under $75,000",110,80,30,0,160,40,40,0,0,30,50
98039,"$75,000 under $100,000",80,50,20,0,130,30,0,0,0,30,0
98039,"$100,000 under $200,000",220,90,110,30,420,110,50,0,0,80,50
98039,"$200,000 or more",720,90,590,0,2040,240,210,0,0,150,370
,,,,,,,,,,,,
98040,,12900,5790,6320,630,25510,4190,2610,30,230,2670,2550
98040,"$1 under $25,000",2290,2050,150,60,1550,390,310,0,20,110,80
98040,"$25,000 under $50,000",1250,960,180,80,1590,330,200,0,30,230,80
98040,"$50,000 under $75,000",1150,830,220,80,1610,380,160,0,20,290,100
98040,"$75,000 under $100,000",910,560,250,80,1430,390,150,0,20,300,90
