"ZIP
code [1]",Size of adjusted gross income,Number of returns,Number of single returns,Number of joint returns,Number of head of household returns,Number of individuals,Number of dependents,Elderly returns,Adjusted gross income (AGI) [6],"Business or profession - Number of returns
net income (less loss)",Farm returns,Unemployment compensation [8],Taxable Social Security benefits,Partnership/S-corp net income (less loss),Self-employment tax
98597,"$50,000 under $75,000",2130,680,1140,270,5170,1900,440,130848,210,20,100,360,50,140
98597,"$75,000 under $100,000",1310,220,990,90,3690,1390,280,113247,160,** ,90,230,50,100
98597,"$100,000 under $200,000",1550,150,1340,60,4300,1420,330,201481,210,40,90,250,90,130
98597,"$200,000 or more",230,30,200,** ,590,170,80,80565,50,** ,** ,50,60,40
,,,,,,,,,,,,,,,
98601,,1560,630,800,90,3360,1100,450,110785,220,80,80,280,120,160
98601,"$1 under $25,000",420,310,70,30,500,80,130,5510,50,30,** ,40,20,40
98601,"$25,000 under $50,000",320,190,90,30,530,130,80,11559,30,** ,50,60,** ,20
98601,"$50,000 under $75,000",250,70,150,30,590,200,80,15220,40,20,** ,60,30,20
98601,"$75,000 under $100,000",210,40,160,** ,620,250,70,18238,30,** ,30,50,** ,20
98601,"$100,000 under $200,000",300,20,280,** ,920,340,90,39885,70,30,** ,70,40,60
98601,"$200,000 or more",60,** ,50,** ,200,100,** ,20373,** ,** ,** ,** ,30,** 
,,,,,,,,,,,,,,,
98603,,400,160,190,50,770,200,130,27053,30,0,0,80,20,0
98603,"$1 under $25,000",120,80,** ,** ,140,20,40,1419,** ,0,0,** ,** ,0
98603,"$25,000 under $50,000",70,30,50,50,130,30,20,2698,** ,0,0,50,20,0
98603,"$50,000 under $75,000",70,50,30,** ,140,40,40,4578,30,0,0,** ,** ,0
98603,"$75,000 under $100,000",70,** ,40,** ,170,60,** ,5763,** ,0,0,30,** ,0
98603,"$100,000 under $200,000",70,** ,70,** ,190,50,30,12595,** ,0,0,** ,** ,0
98603,"$200,000 or more",** ,** ,** ,** ,** ,** ,** ,** ,** ,0,0,** ,** ,0
,,,,,,,,,,,,,,,
98604,,17340,7240,8500,1370,36570,11990,4390,1398521,2590,190,620,2900,1270,2080
98604,"$1 under $25,000",4420,3450,570,340,4770,960,920,55837,570,20,90,270,100,480
98604,"$25,000 under $50,000",3630,2050,990,520,6560,2010,800,133393,490,20,140,630,140,420
98604,"$50,000 under $75,000",2750,980,1420,300,6340,2170,750,171043,390,20,130,610,160,300
98604,"$75,000 under $100,000",2230,430,1660,120,6130,2240,590,193999,360,30,110,500,150,280
98604,"$100,000 under $200,000",3390,280,3010,90,9930,3530,1010,455952,580,60,130,720,340,430
98604,"$200,000 or more",920,50,850,** ,2840,1080,320,388297,200,40,20,170,380,170
,,,,,,,,,,,,,,,
98605,,760,380,270,100,1480,480,170,41941,110,0,50,90,50,90
98605,"$1 under $25,000",240,180,30,30,350,100,50,3306,30,0,30,** ,** ,30
98605,"$25,000 under $50,000",240,120,60,70,480,190,50,8736,50,0,** ,40,30,30
98605,"$50,000 under $75,000",100,60,50,** ,200,50,40,6214,** ,0,20,30,** ,** 
98605,"$75,000 under $100,000",80,** ,60,** ,210,70,** ,6967,30,0,** ,** ,** ,30
98605,"$100,000 under $200,000",100,20,70,** ,240,70,30,16718,** ,0,** ,20,20,** 
98605,"$200,000 or more",** ,** ,** ,** ,** ,** ,** ,** ,** ,0,** ,** ,** ,** 
,,,,,,,,,,,,,,,
98606,,4590,1830,2480,260,9900,3210,1450,513275,730,100,150,950,530,580
98606,"$1 under $25,000",1130,930,120,80,1120,220,260,13858,130,20,** ,80,30,100
98606,"$25,000 under $50,000",760,440,240,70,1320,340,220,27824,110,** ,50,180,40,90
98606,"$50,000 under $75,000",580,220,310,50,1270,380,240,36816,90,20,40,190,50,80
98606,"$75,000 under $100,000",510,130,350,30,1270,420,190,44091,80,** ,** ,160,60,60
98606,"$100,000 under $200,000",1110,80,990,30,3370,1270,380,153382,220,30,60,260,160,170
98606,"$200,000 or more",500,30,470,** ,1550,580,160,237304,100,30,** ,80,190,80
,,,,,,,,,,,,,,,
98607,,14960,5670,7860,1180,33140,11500,3600,2139467,2660,70,490,2340,1500,2170
98607,"$1 under $25,000",3350,2720,340,240,3210,610,640,39021,460,** ,60,210,80,420
98607,"$25,000 under $50,000",2280,1320,540,360,3860,1060,560,83075,360,30,80,440,80,290
98607,"$50,000 under $75,000",1680,660,750,210,3500,1080,490,104169,280,** ,80,390,110,210
98607,"$75,000 under $100,000",1530,380,970,140,3760,1260,480,133291,280,** ,60,380,120,220
98607,"$100,000 under $200,000",3830,430,3200,170,11510,4490,950,538474,790,20,160,650,420,570
98607,"$200,000 or more",2290,160,2060,60,7300,3000,480,1241437,490,20,50,270,690,460
,,,,,,,,,,,,,,,
98610,,1310,580,520,200,2520,780,360,92858,150,0,90,210,60,130
98610,"$1 under $25,000",440,290,70,90,640,210,110,6031,60,0,** ,30,** ,50
98610,"$25,000 under $50,000",320,180,70,60,560,170,80,11307,30,0,40,60,30,50
98610,"$50,000 under $75,000",220,70,110,50,480,150,60,13584,30,0,20,50,** ,** 
98610,"$75,000 under $100,000",140,20,100,** ,350,110,50,11938,** ,0,30,30,** ,30
98610,"$100,000 under $200,000",160,20,140,** ,420,140,60,20768,30,0,** ,40,30,** 
98610,"$200,000 or more",30,** ,30,0,70,** ,** ,29230,** ,0,0,** ,** ,** 
,,,,,,,,,,,,,,,
98611,,4610,1880,2170,500,9210,2600,1470,320607,480,90,260,1000,190,330
98611,"$1 under $25,000",1300,870,240,180,1760,400,410,16858,110,** ,50,140,20,100
98611,"$25,000 under $50,000",1060,560,320,160,1890,510,320,38422,90,** ,70,280,40,60
98611,"$50,000 under $75,000",760,280,380,90,1600,460,290,47437,80,40,50,240,** ,40
98611,"$75,000 under $100,000",570,90,430,40,1480,470,180,49676,70,** ,40,150,30,40
98611,"$100,000 under $200,000",790,80,690,30,2130,650,230,104394,110,50,50,170,60,70
98611,"$200,000 or more",130,** ,110,** ,350,110,40,63820,20,** ,** ,20,40,20
,,,,,,,,,,,,,,,
98612,,1370,560,660,100,2580,620,620,94335,250,40,40,420,100,180
98612,"$1 under $25,000",410,260,90,40,550,110,160,5006,80,** ,** ,50,20,60
98612,"$25,000 under $50,000",290,150,100,30,520,140,120,10563,40,** ,40,90,** ,30
98612,"$50,000 under $75,000",200,70,110,30,440,120,90,12624,40,** ,** ,80,** ,20
98612,"$75,000 under $100,000",180,30,130,** ,420,110,90,15275,30,40,** ,70,20,30
98612,"$100,000 under $200,000",240,50,190,** ,530,110,130,30780,60,** ,** ,110,40,40
98612,"$200,000 or more",50,** ,40,** ,120,30,30,20087,** ,** ,0,20,20,** 
,,,,,,,,,,,,,,,
98613,,200,80,100,0,420,110,70,12128,30,50,0,40,0,30
98613,"$1 under $25,000",60,60,** ,0,80,** ,** ,699,** ,20,0,** ,0,** 
98613,"$25,000 under $50,000",50,** ,30,0,110,50,40,1702,30,** ,0,** ,0,30
98613,"$50,000 under $75,000",40,20,20,0,70,30,** ,2310,** ,30,0,40,0,** 
98613,"$75,000 under $100,000",20,** ,20,0,60,** ,30,2068,0,** ,0,** ,0,** 
98613,"$100,000 under $200,000",30,** ,30,0,100,30,** ,5349,** ,** ,0,** ,0,** 
98613,"$200,000 or more",** ,** ,** ,0,** ,** ,** ,** ,** ,** ,0,** ,0,** 
,,,,,,,,,,,,,,,
98616,,130,40,60,0,220,40,50,9226,0,0,0,40,0,0
98616,"$1 under $25,000",30,** ,** ,0,50,** ,20,432,0,0,0,** ,0,0
98616,"$25,000 under $50,000",30,40,** ,0,40,40,** ,896,0,0,0,** ,0,0
98616,"$50,000 under $75,000",40,** ,40,0,80,** ,30,2678,0,0,0,40,0,0
98616,"$75,000 under $100,000",** ,** ,** ,0,** ,** ,** ,** ,0,0,0,** ,0,0
98616,"$100,000 under $200,000",30,** ,20,0,50,** ,** ,5220,0,0,0,** ,0,0
98616,"$200,000 or more",** ,** ,** ,0,** ,** ,** ,** ,0,0,0,** ,0,0
,,,,,,,,,,,,,,,
98619,,190,90,100,0,380,90,80,13422,20,0,0,40,0,0
98619,"$1 under $25,000",60,40,30,0,80,30,40,697,20,0,0,** ,0,0
98619,"$25,000 under $50,000",40,20,** ,0,70,** ,** ,1462,** ,0,0,** ,0,0
98619,"$50,000 under $75,000",40,30,20,0,80,40,20,2694,** ,0,0,40,0,0
98619,"$75,000 under $100,000",20,** ,20,0,60,** ,20,1947,** ,0,0,** ,0,0
98619,"$100,000 under $200,000",30,** ,30,0,90,20,** ,6622,** ,0,0,** ,0,0
98619,"$200,000 or more",** ,** ,** ,0,** ,** ,** ,** ,** ,0,0,** ,0,0
,,,,,,,,,,,,,,,
98620,,3210,1370,1470,340,6260,1700,1220,179433,420,160,180,780,140,350
98620,"$1 under $25,000",1080,690,240,150,1610,390,380,13592,130,30,40,110,40,120
98620,"$25,000 under $50,000",790,370,290,110,1510,440,280,28389,100,20,50,220,** ,70
98620,"$50,000 under $75,000",500,180,270,50,1080,310,200,31040,70,30,40,160,20,60
98620,"$75,000 under $100,000",380,70,290,30,930,260,150,32514,50,30,50,120,20,40
98620,"$100,000 under $200,000",380,60,320,** ,940,250,160,48998,70,50,** ,130,30,60
98620,"$200,000 or more",80,** ,60,** ,190,50,50,24900,** ,** ,** ,40,30,** 
,,,,,,,,,,,,,,,
98624,,640,290,270,70,1170,290,250,37530,120,0,30,160,40,80
98624,"$1 under $25,000",210,140,30,30,280,70,70,2765,30,0,** ,** ,20,30
98624,"$25,000 under $50,000",170,80,70,40,330,90,50,6244,30,0,30,60,** ,30
98624,"$50,000 under $75,000",120,40,60,** ,230,70,50,7075,30,0,** ,40,** ,** 
98624,"$75,000 under $100,000",50,30,30,** ,100,** ,30,4275,** ,0,** ,20,20,20
98624,"$100,000 under $200,000",70,** ,80,** ,180,60,50,9887,30,0,** ,40,** ,** 
98624,"$200,000 or more",20,** ,** ,** ,50,** ,** ,7284,** ,0,0,** ,** ,** 
,,,,,,,,,,,,,,,
98625,,3430,1340,1710,330,6880,1890,1110,263665,440,40,170,780,170,300
98625,"$1 under $25,000",810,570,130,100,1020,210,240,10639,100,** ,30,80,** ,80
98625,"$25,000 under $50,000",750,380,220,120,1330,360,250,27581,70,** ,40,210,40,50
98625,"$50,000 under $75,000",530,200,270,60,1100,310,180,32867,70,** ,40,140,** ,40
98625,"$75,000 under $100,000",490,110,340,50,1200,370,150,42788,60,** ,30,130,20,40
98625,"$100,000 under $200,000",710,80,620,** ,1900,570,230,94127,110,40,30,180,70,70
98625,"$200,000 or more",140,** ,130,0,330,70,60,55663,30,** ,** ,40,40,20
,,,,,,,,,,,,,,,
98626,,11300,4970,4320,1860,22830,7650,2710,638125,980,60,530,1830,370,770
98626,"$1 under $25,000",3660,2420,460,730,5440,1720,770,49055,300,30,120,220,30,260
98626,"$25,000 under $50,000",3030,1500,770,710,5860,2070,640,108984,200,** ,140,540,40,140
98626,"$50,000 under $75,000",1840,680,870,260,4140,1440,490,112780,150,** ,110,410,60,110
98626,"$75,000 under $100,000",1160,240,810,100,2940,980,330,99667,110,** ,80,280,50,90
98626,"$100,000 under $200,000",1360,110,1190,60,3770,1220,400,178007,180,30,80,330,110,130
98626,"$200,000 or more",250,20,220,** ,680,220,80,89632,40,** ,** ,50,80,40
,,,,,,,,,,,,,,,
98628,,170,80,80,30,350,100,60,7773,0,0,0,30,0,0
98628,"$1 under $25,000",70,40,20,30,120,30,40,988,0,0,0,** ,0,0
98628,"$25,000 under $50,000",40,40,30,** ,90,50,** ,1602,0,0,0,30,0,0
98628,"$50,000 under $75,000",30,** ,** ,** ,60,** ,20,1849,0,0,0,** ,0,0
98628,"$75,000 under $100,000",30,** ,30,** ,80,20,** ,3334,0,0,0,** ,0,0
98628,"$100,000 under $200,000",** ,** ,** ,** ,** ,** ,** ,** ,0,0,0,** ,0,0
98628,"$200,000 or more",** ,** ,** ,** ,** ,** ,** ,** ,0,0,0,** ,0,0
,,,,,,,,,,,,,,,
98629,,4170,1650,2210,300,8880,2800,1190,358771,620,170,150,790,290,470
98629,"$1 under $25,000",980,780,120,70,1000,180,230,12329,120,** ,20,70,** ,100
98629,"$25,000 under $50,000",770,440,220,110,1320,340,230,28630,100,50,30,180,40,70
98629,"$50,000 under $75,000",590,230,300,60,1290,390,200,37144,100,** ,20,140,30,70
98629,"$75,000 under $100,000",560,110,410,40,1500,540,170,48370,80,30,40,130,30,60
98629,"$100,000 under $200,000",1020,90,930,20,3030,1080,300,138304,180,70,40,230,110,130
98629,"$200,000 or more",250,** ,230,** ,740,270,60,93994,40,20,** ,40,80,40
,,,,,,,,,,,,,,,
98631,,1760,870,700,150,3050,630,780,102363,260,30,70,530,130,220
98631,"$1 under $25,000",630,430,110,60,840,160,240,8052,90,** ,20,60,** ,70
98631,"$25,000 under $50,000",450,240,140,60,790,200,160,16069,50,** ,30,140,30,50
98631,"$50,000 under $75,000",260,110,130,30,470,80,140,16142,40,30,20,130,30,50
98631,"$75,000 under $100,000",150,40,100,** ,340,80,70,12972,20,** ,** ,70,** ,** 
98631,"$100,000 under $200,000",210,50,170,** ,480,110,130,27918,60,** ,** ,100,40,50
98631,"$200,000 or more",60,** ,50,** ,130,** ,40,21210,** ,** ,** ,30,30,** 
,,,,,,,,,,,,,,,
98632,,22100,10070,8490,3210,43010,13300,6570,1287941,2070,100,940,4560,790,1610
98632,"$1 under $25,000",7190,4880,950,1250,10390,3070,1800,95137,590,30,230,600,70,490
98632,"$25,000 under $50,000",5820,2960,1520,1210,10940,3640,1450,209932,400,** ,220,1230,80,310
98632,"$50,000 under $75,000",3440,1320,1610,450,7400,2360,1130,212691,330,30,190,970,110,240
98632,"$75,000 under $100,000",2260,510,1540,190,5490,1700,830,194878,280,** ,130,700,80,210
98632,"$100,000 under $200,000",2800,330,2360,110,7300,2140,1080,370527,360,40,170,860,230,260
98632,"$200,000 or more",590,70,510,** ,1490,390,280,204776,110,** ,** ,200,220,100
,,,,,,,,,,,,,,,
98635,,780,320,400,70,1520,370,340,57276,140,40,30,210,70,110
98635,"$1 under $25,000",220,140,50,30,310,70,80,2678,40,** ,** ,** ,30,60
98635,"$25,000 under $50,000",180,90,70,40,330,80,70,6459,20,** ,30,70,** ,** 
98635,"$50,000 under $75,000",120,40,70,** ,280,90,50,7571,40,** ,** ,40,** ,30
98635,"$75,000 under $100,000",90,20,70,** ,200,40,50,8038,** ,40,** ,40,** ,** 
98635,"$100,000 under $200,000",130,30,110,** ,320,90,90,17622,40,** ,** ,60,40,20
98635,"$200,000 or more",40,** ,30,** ,80,** ,** ,14908,** ,** ,0,** ,** ,** 
,,,,,,,,,,,,,,,
98638,,700,300,330,60,1390,390,280,41181,110,40,20,210,50,80
98638,"$1 under $25,000",210,140,40,30,270,60,80,2720,20,** ,20,30,20,** 
98638,"$25,000 under $50,000",160,80,50,30,290,80,60,5783,30,** ,** ,50,** ,40
98638,"$50,000 under $75,000",140,80,70,** ,300,80,60,8869,30,40,** ,60,** ,20
98638,"$75,000 under $100,000",80,** ,70,** ,220,70,40,7079,** ,** ,** ,40,** ,** 
98638,"$100,000 under $200,000",110,** ,100,** ,310,100,40,16730,30,** ,** ,30,30,20
98638,"$200,000 or more",** ,** ,** ,** ,** ,** ,** ,** ,** ,** ,** ,** ,** ,** 
,,,,,,,,,,,,,,,
98640,,2220,1000,1020,170,3820,640,1310,119484,280,0,70,890,80,210
98640,"$1 under $25,000",840,530,230,70,1220,190,450,10869,110,0,30,130,20,90
98640,"$25,000 under $50,000",570,270,220,70,1000,210,310,20639,50,0,20,280,** ,40
98640,"$50,000 under $75,000",330,100,200,30,650,130,200,20150,40,0,** ,180,20,20
98640,"$75,000 under $100,000",200,50,140,** ,380,50,140,16889,30,0,20,130,** ,20
98640,"$100,000 under $200,000",220,50,190,** ,450,60,170,30013,50,0,** ,130,40,40
98640,"$200,000 or more",60,** ,40,** ,120,** ,40,20924,** ,0,** ,40,** ,** 
,,,,,,,,,,,,,,,
98642,,10050,3860,5350,700,21520,6730,3010,1069606,1640,190,340,2050,920,1310
98642,"$1 under $25,000",2150,1700,260,160,2350,470,490,26964,280,** ,40,160,40,230
98642,"$25,000 under $50,000",1730,980,480,220,3040,870,480,63638,220,40,60,390,60,190
98642,"$50,000 under $75,000",1400,560,670,150,3010,950,440,87177,230,20,60,360,70,170
98642,"$75,000 under $100,000",1230,280,850,80,3050,970,410,106486,220,30,40,310,100,170
98642,"$100,000 under $200,000",2530,260,2180,90,7150,2450,850,347981,460,50,120,630,260,340
98642,"$200,000 or more",1010,80,910,** ,2920,1020,340,437360,230,50,20,200,390,210
,,,,,,,,,,,,,,,
98643,,170,70,90,0,330,80,80,9195,0,0,0,50,0,0
98643,"$1 under $25,000",60,50,30,0,90,30,40,689,0,0,0,20,0,0
98643,"$25,000 under $50,000",30,** ,** ,0,50,** ,** ,1048,0,0,0,** ,0,0
98643,"$50,000 under $75,000",50,20,40,0,120,30,40,3490,0,0,0,30,0,0
98643,"$75,000 under $100,000",** ,** ,** ,0,** ,** ,** ,** ,0,0,0,** ,0,0
98643,"$100,000 under $200,000",30,** ,20,0,70,20,** ,3968,0,0,0,** ,0,0
98643,"$200,000 or more",** ,** ,** ,0,** ,** ,** ,** ,0,0,0,** ,0,0
,,,,,,,,,,,,,,,
98645,,650,260,310,70,1310,380,210,44629,70,0,40,160,0,50
98645,"$1 under $25,000",190,130,30,30,260,70,60,2376,40,0,** ,20,0,30
98645,"$25,000 under $50,000",130,70,40,20,240,70,40,4902,** ,0,** ,40,0,** 
98645,"$50,000 under $75,000",110,60,50,20,240,70,30,6780,** ,0,40,30,0,20
98645,"$75,000 under $100,000",80,** ,70,** ,220,70,30,7091,30,0,** ,30,0,** 
98645,"$100,000 under $200,000",120,** ,100,** ,300,100,50,15286,** ,0,** ,40,0,** 
98645,"$200,000 or more",20,0,20,0,50,** ,** ,8194,** ,0,0,** ,0,** 
,,,,,,,,,,,,,,,
98647,,180,70,90,0,390,140,60,8299,40,20,0,40,0,30
98647,"$1 under $25,000",70,40,30,0,100,30,30,718,** ,20,0,** ,0,** 
98647,"$25,000 under $50,000",50,30,** ,0,110,40,** ,1705,40,** ,0,** ,0,30
98647,"$50,000 under $75,000",30,** ,30,0,80,30,30,1935,** ,** ,0,40,0,** 
98647,"$75,000 under $100,000",30,** ,30,0,100,40,** ,3941,** ,** ,0,** ,0,** 
98647,"$100,000 under $200,000",** ,** ,** ,0,** ,** ,** ,** ,** ,** ,0,** ,0,** 
98647,"$200,000 or more",** ,** ,** ,0,** ,** ,** ,** ,** ,** ,0,** ,0,** 
,,,,,,,,,,,,,,,
98648,,1490,690,650,130,2690,650,520,101409,220,0,80,330,100,170
98648,"$1 under $25,000",440,330,50,50,510,100,120,5356,60,0,** ,30,** ,50
98648,"$25,000 under $50,000",340,190,100,60,580,150,120,12708,50,0,50,80,40,40
98648,"$50,000 under $75,000",190,80,90,** ,360,80,70,11504,** ,0,** ,60,** ,** 
98648,"$75,000 under $100,000",180,40,130,20,400,100,70,15400,40,0,30,60,** ,30
98648,"$100,000 under $200,000",280,50,230,** ,700,190,110,36926,70,0,** ,100,30,50
98648,"$200,000 or more",60,** ,50,** ,140,30,30,19515,** ,0,** ,** ,30,** 
,,,,,,,,,,,,,,,
98649,,550,210,290,50,1160,350,190,37298,50,0,20,120,30,40
98649,"$1 under $25,000",150,110,30,** ,200,30,50,1868,30,0,** ,** ,** ,** 
98649,"$25,000 under $50,000",110,40,40,50,220,80,40,3889,** ,0,20,50,0,40
98649,"$50,000 under $75,000",90,30,60,** ,210,60,60,5922,** ,0,** ,40,30,** 
98649,"$75,000 under $100,000",80,30,50,** ,190,60,** ,6474,20,0,** ,** ,** ,** 
98649,"$100,000 under $200,000",120,** ,110,** ,340,120,40,19145,** ,0,** ,30,** ,** 
98649,"$200,000 or more",** ,** ,** ,** ,** ,** ,** ,** ,** ,0,** ,** ,** ,** 
,,,,,,,,,,,,,,,
98650,,550,230,280,30,1120,330,200,41497,100,30,30,120,40,90
98650,"$1 under $25,000",150,100,40,** ,230,80,30,1997,50,** ,** ,** ,** ,30
98650,"$25,000 under $50,000",120,50,40,30,230,70,50,4135,** ,30,30,40,** ,30
98650,"$50,000 under $75,000",100,40,60,** ,200,50,40,5858,30,** ,** ,50,** ,** 
98650,"$75,000 under $100,000",60,40,40,** ,140,40,30,5659,** ,** ,** ,** ,** ,30
98650,"$100,000 under $200,000",90,** ,80,0,250,90,50,11926,20,** ,** ,30,40,** 
98650,"$200,000 or more",30,** ,20,0,70,** ,** ,11922,** ,** ,0,** ,** ,** 
,,,,,,,,,,,,,,,
98651,,400,170,200,30,750,170,170,60295,60,0,20,110,50,60
98651,"$1 under $25,000",80,60,** ,** ,80,** ,20,1091,** ,0,** ,20,** ,** 
98651,"$25,000 under $50,000",80,50,30,30,150,50,20,3099,40,0,20,** ,** ,40
98651,"$50,000 under $75,000",70,30,30,** ,130,30,50,4291,** ,0,** ,40,** ,** 
98651,"$75,000 under $100,000",40,30,30,** ,100,30,** ,3535,** ,0,** ,** ,30,** 
98651,"$100,000 under $200,000",80,** ,70,0,190,60,50,11187,20,0,** ,50,** ,20
98651,"$200,000 or more",50,** ,40,0,100,** ,30,37092,** ,0,** ,** ,20,** 
,,,,,,,,,,,,,,,
98660,,5820,3430,1640,660,9870,2580,1220,507609,850,0,180,680,350,700
98660,"$1 under $25,000",1560,1160,140,240,2110,580,330,21096,260,0,50,80,30,210
98660,"$25,000 under $50,000",1620,1090,250,240,2610,730,240,59248,160,0,60,150,30,130
98660,"$50,000 under $75,000",1000,580,310,100,1710,400,210,61396,140,0,30,160,40,100
98660,"$75,000 under $100,000",620,290,280,40,1200,300,150,54038,90,0,20,110,30,80
98660,"$100,000 under $200,000",730,230,460,40,1620,430,190,98703,140,0,20,120,100,110
98660,"$200,000 or more",290,80,200,** ,620,140,100,213128,60,0,** ,60,120,70
,,,,,,,,,,,,,,,
98661,,21390,11230,6410,3420,39990,12940,4270,1356038,2940,0,850,2530,840,2300
98661,"$1 under $25,000",6750,4700,670,1280,9940,3200,1170,93007,1010,0,190,300,90,800
98661,"$25,000 under $50,000",6780,3880,1320,1440,12510,4460,980,244563,760,0,290,680,100,580
98661,"$50,000 under $75,000",3410,1530,1380,460,7230,2450,720,208654,430,0,160,510,120,330
98661,"$75,000 under $100,000",1870,590,1120,140,4280,1290,480,160866,280,0,110,370,100,190
98661,"$100,000 under $200,000",2000,400,1490,100,4790,1300,630,262364,330,0,100,460,190,260
98661,"$200,000 or more",580,130,430,** ,1240,240,290,386584,130,0,** ,210,240,140
,,,,,,,,,,,,,,,
98662,,16700,8140,6260,2020,32560,10370,3930,1024271,2290,40,650,2480,790,1850
98662,"$1 under $25,000",4720,3480,590,580,6210,1630,1040,63311,680,** ,130,280,90,590
98662,"$25,000 under $50,000",4580,2650,1010,820,8240,2670,880,167646,550,** ,180,650,130,450
98662,"$50,000 under $75,000",3020,1210,1340,400,6700,2350,790,185458,410,** ,130,610,120,310
98662,"$75,000 under $100,000",1890,450,1280,140,4780,1610,510,163592,270,** ,100,420,110,210
98662,"$100,000 under $200,000",2140,290,1760,80,5740,1850,570,278771,320,40,110,420,200,230
98662,"$200,000 or more",350,60,280,** ,890,260,140,165493,60,** ,** ,100,140,60
,,,,,,,,,,,,,,,
98663,,7240,3820,2430,890,13040,3600,1640,448583,1090,0,290,990,320,830
98663,"$1 under $25,000",1960,1460,190,280,2560,630,400,26586,330,0,50,110,20,260
98663,"$25,000 under $50,000",2110,1320,390,360,3510,1020,360,77275,250,0,100,250,40,190
98663,"$50,000 under $75,000",1260,610,480,140,2460,730,310,77139,170,0,50,240,50,130
98663,"$75,000 under $100,000",770,230,480,60,1780,530,190,66673,130,0,40,140,50,90
98663,"$100,000 under $200,000",960,160,760,50,2310,590,310,127114,170,0,50,210,100,130
98663,"$200,000 or more",180,40,130,** ,420,100,70,73796,40,0,** ,40,60,30
,,,,,,,,,,,,,,,
98664,,11350,5850,3980,1330,20750,5920,3070,1368290,1530,0,400,1910,620,1210
98664,"$1 under $25,000",3150,2350,370,390,4110,1020,750,42659,440,0,70,230,60,350
98664,"$25,000 under $50,000",3080,1850,600,560,5420,1770,630,111821,340,0,120,470,60,260
98664,"$50,000 under $75,000",1950,910,770,230,3980,1270,510,119593,240,0,70,370,60,180
98664,"$75,000 under $100,000",1230,370,770,70,2730,740,400,105988,170,0,70,320,60,130
98664,"$100,000 under $200,000",1460,280,1100,80,3430,870,540,192323,230,0,70,370,150,180
98664,"$200,000 or more",480,90,370,** ,1080,250,240,795906,110,0,** ,150,230,110
,,,,,,,,,,,,,,,
98665,,13970,6930,5080,1750,26370,7910,3460,933154,2040,30,540,2090,690,1540
98665,"$1 under $25,000",3970,2900,460,550,5250,1370,860,53268,620,** ,110,230,60,500
98665,"$25,000 under $50,000",3710,2200,760,670,6420,1980,750,135347,440,30,150,540,90,320
98665,"$50,000 under $75,000",2320,1020,970,280,4900,1610,590,143178,300,** ,100,430,110,220
98665,"$75,000 under $100,000",1510,410,950,140,3590,1130,440,131016,240,** ,80,330,70,170
98665,"$100,000 under $200,000",2020,340,1580,110,5090,1500,630,267817,340,** ,100,440,190,250
98665,"$200,000 or more",440,60,360,** ,1120,320,190,202528,100,** ,** ,120,170,80
,,,,,,,,,,,,,,,
98671,,11240,4650,5330,1060,22830,6840,3180,982675,1600,120,440,2100,780,1210
98671,"$1 under $25,000",2760,2050,340,320,3340,770,660,35227,350,20,70,220,50,280
98671,"$25,000 under $50,000",2280,1300,580,350,3970,1140,580,83095,260,** ,100,460,80,190
98671,"$50,000 under $75,000",1670,670,760,190,3460,1030,510,103785,220,30,80,400,80,160
98671,"$75,000 under $100,000",1370,290,960,100,3340,1020,460,119012,210,** ,70,350,100,150
98671,"$100,000 under $200,000",2390,270,2020,80,6620,2210,710,326996,380,40,120,530,240,280
98671,"$200,000 or more",770,70,670,20,2100,670,260,314560,180,30,** ,140,230,150
,,,,,,,,,,,,,,,
98672,,3280,1520,1410,310,6290,1760,970,303291,650,60,150,610,330,520
98672,"$1 under $25,000",860,650,110,90,1020,220,220,10832,160,** ,30,50,20,120
98672,"$25,000 under $50,000",740,410,190,130,1370,440,170,27416,110,** ,50,120,20,90
98672,"$50,000 under $75,000",490,210,230,40,980,260,160,29945,100,30,40,120,40,80
98672,"$75,000 under $100,000",350,90,230,20,810,220,120,30704,60,** ,** ,110,30,50
98672,"$100,000 under $200,000",590,110,460,30,1500,450,200,80788,140,30,30,150,110,110
98672,"$200,000 or more",250,50,190,** ,610,170,100,123606,80,** ,** ,60,110,70
,,,,,,,,,,,,,,,
98674,,6310,2560,3000,680,13430,4450,1660,467857,820,120,280,1070,350,640
98674,"$1 under $25,000",1660,1150,270,210,2150,530,410,21176,200,30,40,120,30,170
98674,"$25,000 under $50,000",1500,800,390,280,2800,930,350,54393,150,** ,60,280,30,120
98674,"$50,000 under $75,000",960,340,500,110,2300,840,260,60016,110,40,60,190,30,80
98674,"$75,000 under $100,000",740,130,560,40,2030,730,210,64476,110,** ,50,170,40,80
98674,"$100,000 under $200,000",1170,110,1030,40,3390,1190,330,156554,190,30,70,240,120,130
98674,"$200,000 or more",280,30,250,** ,760,230,100,111242,60,20,** ,70,100,60
,,,,,,,,,,,,,,,
98675,,2570,1030,1350,160,6170,2420,560,205778,330,60,120,360,180,270
98675,"$1 under $25,000",600,470,80,50,690,170,110,7750,70,** ,** ,30,40,60
98675,"$25,000 under $50,000",500,290,160,50,890,250,100,18556,40,30,40,80,** ,40
98675,"$50,000 under $75,000",480,160,250,60,1190,460,110,29403,60,** ,30,90,30,40
98675,"$75,000 under $100,000",410,70,320,** ,1390,650,90,35793,60,** ,20,50,** ,50
