"ZIP
code [1]",Size of adjusted gross income,Number of returns,Number of single returns,Number of joint returns,Number of head of household returns,Number of individuals,Number of dependents,Elderly returns,Adjusted gross income (AGI) [6],"Business or profession - Number of returns
net income (less loss)",Farm returns,Unemployment compensation [8],Taxable Social Security benefits,Partnership/S-corp net income (less loss),Self-employment tax
98020,,11300,5640,4990,540,19800,4200,4900,1692551,2030,30,260,3290,1480,1710
98020,"$1 under $25,000",2160,1860,200,80,1950,200,730,24772,330,** ,30,210,70,270
98020,"$25,000 under $50,000",1740,1300,280,130,2270,290,640,64539,250,** ,50,520,80,190
98020,"$50,000 under $75,000",1510,1000,390,90,2200,320,720,93910,220,30,30,580,100,160
98020,"$75,000 under $100,000",1220,590,520,90,2150,410,610,105157,220,0,40,460,110,180
98020,"$100,000 under $200,000",2720,680,1920,100,6060,1430,1360,383728,550,** ,80,1000,380,460
98020,"$200,000 or more",1950,210,1680,50,5170,1550,840,1020445,460,** ,30,520,740,450
,,,,,,,,,,,,,,,
98021,,15010,6180,7740,870,31910,10120,3330,1873559,2220,0,440,1850,1030,1730
98021,"$1 under $25,000",2810,2340,310,120,2610,380,690,32704,390,0,40,190,50,320
98021,"$25,000 under $50,000",2310,1570,430,270,3460,770,530,85936,300,0,80,380,70,240
98021,"$50,000 under $75,000",1750,1010,530,170,2970,710,520,108032,250,0,60,370,90,200
98021,"$75,000 under $100,000",1490,550,790,110,3170,890,420,130116,230,0,60,280,80,160
98021,"$100,000 under $200,000",3970,590,3180,150,10930,3780,890,571328,650,0,140,510,330,500
98021,"$200,000 or more",2680,120,2500,50,8770,3590,280,945443,400,0,60,120,410,310
,,,,,,,,,,,,,,,
98022,,11110,5270,4740,970,21060,5840,3250,950953,1430,230,450,2040,750,1180
98022,"$1 under $25,000",2560,2040,280,210,2770,520,710,31858,300,** ,50,200,50,250
98022,"$25,000 under $50,000",2300,1500,440,330,3610,910,570,84763,210,40,80,440,60,170
98022,"$50,000 under $75,000",1750,940,570,210,3180,860,560,108265,200,30,90,410,70,160
98022,"$75,000 under $100,000",1330,400,800,110,3090,950,420,116211,190,30,80,330,60,140
98022,"$100,000 under $200,000",2440,320,2010,110,6510,2060,720,334954,400,70,150,480,250,320
98022,"$200,000 or more",730,70,640,** ,1900,540,270,274902,130,60,** ,180,260,140
,,,,,,,,,,,,,,,
98023,,24070,11620,8740,3330,46360,14920,5300,1738781,3250,0,840,3060,1120,2540
98023,"$1 under $25,000",6300,4680,630,910,7970,2280,1040,81020,920,0,140,270,100,790
98023,"$25,000 under $50,000",6140,3600,1030,1350,10820,3750,870,226334,620,0,220,550,120,480
98023,"$50,000 under $75,000",3760,1770,1290,620,7730,2680,880,231963,490,0,150,610,150,370
98023,"$75,000 under $100,000",2650,830,1550,230,6240,2050,710,229995,390,0,120,510,130,270
98023,"$100,000 under $200,000",4130,630,3280,200,10780,3370,1350,560687,620,0,180,890,330,460
98023,"$200,000 or more",1090,110,960,20,2820,790,450,408782,210,0,30,230,290,170
,,,,,,,,,,,,,,,
98024,,2560,1160,1230,150,4950,1400,750,390128,460,30,70,420,280,370
98024,"$1 under $25,000",560,480,60,** ,500,80,140,6244,80,** ,** ,40,** ,70
98024,"$25,000 under $50,000",400,270,80,60,590,120,110,14522,50,** ,** ,70,40,40
98024,"$50,000 under $75,000",310,180,100,30,530,130,100,18992,50,** ,40,80,** ,40
98024,"$75,000 under $100,000",260,100,140,20,510,110,110,22952,50,30,** ,70,20,40
98024,"$100,000 under $200,000",540,90,420,40,1360,410,170,75522,120,** ,30,100,70,80
98024,"$200,000 or more",490,40,430,** ,1460,550,120,251896,110,** ,** ,60,150,100
,,,,,,,,,,,,,,,
98026,,19450,9680,8080,1440,35390,9020,5580,1925076,3210,30,610,3350,1460,2580
98026,"$1 under $25,000",4150,3470,370,250,4140,680,960,50923,680,** ,70,280,100,570
98026,"$25,000 under $50,000",3890,2680,660,480,5780,1290,930,144688,530,** ,130,650,120,420
98026,"$50,000 under $75,000",2980,1720,890,310,5070,1220,870,184096,420,30,120,610,130,320
98026,"$75,000 under $100,000",2250,870,1180,180,4520,1090,810,195811,350,** ,90,580,160,270
98026,"$100,000 under $200,000",4400,770,3410,190,11040,3240,1420,609668,850,** ,170,920,450,660
98026,"$200,000 or more",1780,170,1570,30,4840,1500,590,739890,380,** ,30,310,500,340
,,,,,,,,,,,,,,,
98027,,14910,7050,6740,940,28210,7600,3870,2334617,2520,40,410,2360,1490,1970
98027,"$1 under $25,000",2670,2280,210,140,2300,360,530,30057,390,** ,30,150,60,320
98027,"$25,000 under $50,000",2170,1610,280,240,3000,610,460,80598,290,** ,70,310,80,230
98027,"$50,000 under $75,000",1870,1230,440,170,2870,570,480,115216,280,** ,70,340,90,220
98027,"$75,000 under $100,000",1530,740,640,120,2700,540,540,133663,270,** ,60,380,100,190
98027,"$100,000 under $200,000",3590,900,2460,190,8280,2240,1170,514775,660,40,100,790,430,490
98027,"$200,000 or more",3080,290,2710,80,9060,3280,690,1460308,630,** ,80,390,730,520
,,,,,,,,,,,,,,,
98028,,11700,5640,5160,740,22320,6180,2850,1397727,2030,0,340,1600,960,1640
98028,"$1 under $25,000",2460,2050,230,140,2420,370,540,28912,430,0,30,140,60,360
98028,"$25,000 under $50,000",2040,1450,340,200,2940,600,410,75430,300,0,60,280,70,230
98028,"$50,000 under $75,000",1450,890,400,130,2320,490,390,89016,230,0,60,270,90,180
98028,"$75,000 under $100,000",1180,500,560,100,2270,540,400,102285,220,0,50,270,90,180
98028,"$100,000 under $200,000",2730,580,2000,130,6960,2230,750,391278,500,0,100,440,290,380
98028,"$200,000 or more",1840,170,1630,40,5410,1950,360,710806,350,0,40,200,360,310
,,,,,,,,,,,,,,,
98029,,13520,5560,6830,980,28840,9420,2820,2297489,1930,20,350,1750,990,1550
98029,"$1 under $25,000",2250,1890,190,140,1980,390,480,24368,290,20,20,130,50,250
98029,"$25,000 under $50,000",1620,1130,280,190,2440,570,420,60475,220,** ,50,320,70,190
98029,"$50,000 under $75,000",1430,910,330,160,2240,490,440,88636,180,** ,50,350,70,140
98029,"$75,000 under $100,000",1220,560,500,140,2350,630,380,105670,170,** ,40,290,70,130
98029,"$100,000 under $200,000",3430,800,2360,240,8630,2850,720,498397,520,** ,110,490,260,390
98029,"$200,000 or more",3570,270,3170,110,11200,4490,380,1519943,550,** ,80,170,470,450
,,,,,,,,,,,,,,,
98030,,17400,8700,5830,2580,34100,11830,2800,1013461,2890,0,540,1460,600,2290
98030,"$1 under $25,000",5050,3600,620,760,7010,2230,660,67482,1000,0,100,170,50,840
98030,"$25,000 under $50,000",5140,2870,1070,1080,9910,3750,600,189251,800,0,160,350,120,620
98030,"$50,000 under $75,000",2900,1310,1070,450,6110,2150,500,177839,440,0,110,320,100,340
98030,"$75,000 under $100,000",1580,470,920,170,3810,1310,360,136644,230,0,60,240,80,170
98030,"$100,000 under $200,000",2310,400,1790,120,6130,2030,550,309891,340,0,110,310,160,250
98030,"$200,000 or more",420,50,360,** ,1130,360,130,132354,80,0,** ,70,90,70
,,,,,,,,,,,,,,,
