"ZIP
code [1]",Size of adjusted gross income,Number of returns [2],Number of single returns,Number of joint returns,Number of head of household returns,Number of individuals,Elderly returns,Farm returns,Unemployment compensation [9],Taxable Social Security benefits,Partnership/S-corp net income (less loss)
98022,"$1 under $25,000",2560,2080,300,160,2870,770,20,420,230,50
98022,"$25,000 under $50,000",2400,1630,430,300,3590,630,20,680,480,50
98022,"$50,000 under $75,000",1810,1010,540,230,3100,550,20,470,430,80
98022,"$75,000 under $100,000",1340,470,720,130,2920,440,30,400,320,70
98022,"$100,000 under $200,000",2710,400,2190,100,7070,810,70,780,550,220
98022,"$200,000 or more",880,80,770,20,2350,280,60,160,170,280
,,,,,,,,,,,
98023,,24910,12580,8580,3240,45890,5580,0,6310,3180,1120
98023,"$1 under $25,000",5940,4530,610,700,7530,1090,0,1230,340,100
98023,"$25,000 under $50,000",6550,4060,990,1310,10890,970,0,2030,600,150
98023,"$50,000 under $75,000",4160,2110,1220,700,7690,920,0,1050,620,150
98023,"$75,000 under $100,000",2780,980,1450,300,6140,760,0,720,510,150
98023,"$100,000 under $200,000",4260,760,3260,230,10560,1360,0,1080,850,300
98023,"$200,000 or more",1220,140,1050,0,3080,480,0,200,260,270
,,,,,,,,,,,
98024,,2560,1180,1220,140,4940,750,30,430,430,270
98024,"$1 under $25,000",500,420,50,20,460,110,0,60,40,30
98024,"$25,000 under $50,000",450,330,70,30,600,120,0,100,80,0
98024,"$50,000 under $75,000",300,160,110,30,540,100,0,70,70,30
98024,"$75,000 under $100,000",220,90,110,20,410,100,0,40,70,0
98024,"$100,000 under $200,000",570,120,430,40,1380,200,30,110,120,70
98024,"$200,000 or more",520,60,450,0,1550,120,0,50,50,140
,,,,,,,,,,,
98026,,19630,9970,7980,1370,35230,5770,30,4560,3440,1430
98026,"$1 under $25,000",3930,3220,410,230,4210,1080,0,790,350,100
98026,"$25,000 under $50,000",3820,2740,590,420,5400,950,0,1170,660,130
98026,"$50,000 under $75,000",3030,1890,790,290,4810,930,30,720,650,140
98026,"$75,000 under $100,000",2170,900,1040,180,4200,790,0,490,570,140
98026,"$100,000 under $200,000",4480,980,3260,200,10770,1410,0,1060,900,410
98026,"$200,000 or more",2200,240,1890,50,5840,610,0,330,310,510
,,,,,,,,,,,
98027,,15020,7230,6660,880,28040,3960,40,2600,2380,1340
98027,"$1 under $25,000",2520,2120,240,130,2420,590,0,450,170,70
98027,"$25,000 under $50,000",2140,1570,310,210,2940,520,0,580,370,70
98027,"$50,000 under $75,000",1800,1220,390,130,2670,490,0,350,350,80
98027,"$75,000 under $100,000",1530,850,540,120,2510,520,0,250,360,90
98027,"$100,000 under $200,000",3460,1080,2120,200,7380,1110,40,540,750,330
98027,"$200,000 or more",3570,390,3060,90,10120,730,0,430,380,700
,,,,,,,,,,,
98028,,11690,5740,5100,660,21930,2970,0,2220,1680,910
98028,"$1 under $25,000",2180,1810,220,110,2190,580,0,380,180,50
98028,"$25,000 under $50,000",1990,1480,290,180,2780,460,0,570,320,70
98028,"$50,000 under $75,000",1460,970,350,100,2210,400,0,330,260,70
98028,"$75,000 under $100,000",1090,530,450,70,1910,360,0,200,240,80
98028,"$100,000 under $200,000",2650,680,1790,150,6190,790,0,470,480,270
98028,"$200,000 or more",2320,270,2000,50,6650,380,0,270,200,370
,,,,,,,,,,,
98029,,13870,5960,6840,910,28730,2910,0,2080,1800,940
98029,"$1 under $25,000",2210,1870,210,100,1980,530,0,370,180,50
98029,"$25,000 under $50,000",1570,1110,250,200,2290,390,0,400,310,50
98029,"$50,000 under $75,000",1430,940,320,140,2200,450,0,260,340,60
98029,"$75,000 under $100,000",1180,600,450,110,2100,400,0,190,290,70
98029,"$100,000 under $200,000",3170,980,1910,230,7210,750,0,460,500,220
98029,"$200,000 or more",4310,460,3700,130,12950,390,0,400,180,490
,,,,,,,,,,,
98030,,18070,9540,5720,2450,33770,3000,0,4930,1480,610
98030,"$1 under $25,000",4900,3650,560,610,6720,710,0,1100,190,60
98030,"$25,000 under $50,000",5310,3160,970,1070,9410,660,0,1660,360,100
98030,"$50,000 under $75,000",3060,1560,950,460,5930,500,0,870,310,100
98030,"$75,000 under $100,000",1770,610,940,180,3990,390,0,510,230,80
98030,"$100,000 under $200,000",2500,490,1860,130,6320,610,0,690,330,170
98030,"$200,000 or more",530,70,440,0,1400,130,0,100,60,100
,,,,,,,,,,,
98031,,21040,10780,7380,2520,39240,4130,0,5850,2130,740
98031,"$1 under $25,000",5270,4020,600,580,6760,900,0,1200,230,70
98031,"$25,000 under $50,000",5650,3440,1100,990,9800,860,0,1850,500,120
98031,"$50,000 under $75,000",3510,1780,1130,520,6650,710,0,1010,420,100
98031,"$75,000 under $100,000",2270,800,1180,250,5000,560,0,690,360,100
98031,"$100,000 under $200,000",3450,640,2600,180,8680,860,0,930,510,200
98031,"$200,000 or more",890,100,770,0,2350,240,0,170,110,150
,,,,,,,,,,,
98032,,18600,10590,4790,2890,33140,3130,0,4680,1620,470
98032,"$1 under $25,000",4870,3630,380,790,6890,710,0,940,190,50
98032,"$25,000 under $50,000",5770,3540,850,1240,10000,740,0,1750,440,90
98032,"$50,000 under $75,000",3490,1950,920,560,6350,620,0,870,360,80
98032,"$75,000 under $100,000",1790,800,780,180,3670,380,0,460,250,60
98032,"$100,000 under $200,000",2240,600,1500,120,5170,550,0,580,310,110
98032,"$200,000 or more",440,70,360,0,1060,130,0,80,70,80
,,,,,,,,,,,
98033,,20180,9930,8920,1060,37950,4910,20,2960,2840,2430
98033,"$1 under $25,000",3050,2630,240,140,2860,730,0,510,210,90
98033,"$25,000 under $50,000",2330,1780,320,200,3090,580,0,640,400,100
98033,"$50,000 under $75,000",2100,1520,400,150,2910,580,0,450,410,130
98033,"$75,000 under $100,000",1590,970,480,110,2480,570,0,260,410,130
98033,"$100,000 under $200,000",4080,1780,1990,240,7770,1290,20,510,820,500
98033,"$200,000 or more",7030,1250,5490,220,18840,1160,0,590,590,1480
,,,,,,,,,,,
98034,,25700,13470,10210,1620,45960,5390,40,4960,2940,1540
98034,"$1 under $25,000",4670,3810,480,310,5170,1010,0,880,280,100
98034,"$25,000 under $50,000",4490,3290,670,450,6280,830,40,1350,550,120
98034,"$50,000 under $75,000",3640,2480,790,300,5360,870,0,780,550,130
98034,"$75,000 under $100,000",2590,1330,1020,190,4490,720,0,500,470,120
98034,"$100,000 under $200,000",5520,1820,3380,240,11910,1380,0,980,810,390
98034,"$200,000 or more",4790,740,3870,130,12750,580,0,470,280,680
,,,,,,,,,,,
98036,,20600,10580,7760,1840,37460,4990,0,5230,2710,1020
98036,"$1 under $25,000",4730,3710,530,410,5690,1160,0,1040,290,80
98036,"$25,000 under $50,000",4870,3340,760,650,7340,990,0,1470,670,130
98036,"$50,000 under $75,000",3120,1710,910,390,5450,810,0,820,540,110
98036,"$75,000 under $100,000",2070,830,1050,160,4200,650,0,540,440,100
98036,"$100,000 under $200,000",4040,810,2980,190,9910,1060,0,1060,620,320
98036,"$200,000 or more",1770,180,1530,40,4870,320,0,300,150,280
,,,,,,,,,,,
98037,,14370,7520,5200,1310,25730,3220,0,3720,1680,660
98037,"$1 under $25,000",3380,2670,400,240,3930,810,0,740,220,70
98037,"$25,000 under $50,000",3460,2330,570,460,5200,620,0,1090,390,90
98037,"$50,000 under $75,000",2350,1290,700,300,4170,560,0,610,340,80
98037,"$75,000 under $100,000",1520,590,730,140,3040,420,0,410,270,70
98037,"$100,000 under $200,000",2680,520,1960,170,6740,650,0,690,390,200
98037,"$200,000 or more",980,120,840,0,2650,160,0,180,70,150
,,,,,,,,,,,
98038,,16630,6640,8430,1310,35990,3750,50,3690,2300,1030
98038,"$1 under $25,000",3040,2530,270,190,2980,670,20,540,210,50
98038,"$25,000 under $50,000",2390,1630,410,310,3570,550,0,710,430,60
98038,"$50,000 under $75,000",2010,1110,580,270,3520,580,0,480,460,90
98038,"$75,000 under $100,000",1770,590,950,190,3920,520,0,420,390,100
98038,"$100,000 under $200,000",4990,650,3990,290,14260,1080,30,1150,650,330
98038,"$200,000 or more",2430,130,2230,60,7740,350,0,390,160,400
,,,,,,,,,,,
98039,,1510,620,800,60,3090,500,0,140,320,460
